API Name,UI Name,Description,
achievementId,Achievement ID,The achievement ID in a game for an event. Populated by the event parameter achievement_id.,
adFormat,Ad format,"Describes the way ads looked and where they appeared. Typical formats include Interstitial, Banner, and Native advanced.",
adSourceName,Ad source,"The source network that served the ad. Typical examples include AdMob Network, Liftoff, Facebook Network, and Mediated house ads.",
adUnitName,Ad unit,The name you chose to describe this Ad unit. Containers you place in your apps to show ads.,
appVersion,App version,The app's versionName (Android) or short bundle version (iOS).,
audienceId,Audience ID,The numeric identifier of an Audience. Users are represented by the audiences to which they belonged during the report's date range. Current user behavior does not affect how audience membership is displayed in reports.,
audienceName,Audience name,The given name of an Audience. Users are represented by the audiences to which they belonged during the report's date range. Current user behavior does not affect how audience membership is displayed in reports.,
audienceResourceName,Audience resource name,"The resource name of this audience. Resource names uniquely identify both collection & resource identifiers; to learn more, see Resourcenames.",
brandingInterest,Interests,"Interests demonstrated by users who are high in the shopping funnel. Users can be counted in multiple categories. For example, Shoppers, Lifestyle & Hobbies/Pet Lovers, or Travel/Travel & Vacation/Beachbound Travelers.",
browser,Browser,The browsers used to view your website.,
campaignId,Campaign ID,"The identifier of the marketing campaign. Present on key events. Includes Google Ads Campaigns, Manual Campaigns, and other Campaigns.",
campaignName,Campaign,"The name of the marketing campaign. Present on key events. Includes Google Ads Campaigns, Manual Campaigns, and other Campaigns.",
character,Character,The player character in a game for an event. Populated by the event parameter character.,
city,City,The city from which the user activity originated.,
cityId,City ID,"The geographic ID of the city from which the user originated, derived from their IP address.",
cm360AccountId,CM360 account ID,The CM360 Account ID that led to the key event. A CM360 Account.,
cm360AccountName,CM360 account name,"The CM360 Account Name that led to the key event. A CM360 account consists of advertisers, sites, campaigns, and user profiles.",
cm360AdvertiserId,CM360 advertiser ID,The CM360 Advertiser ID that led to the key event. A CM360 Advertiser.,
cm360AdvertiserName,CM360 advertiser name,"The CM360 Advertiser Name that led to the key event. A CM360 Advertiser contains a group of campaigns, creatives, and other settings.",
cm360CampaignId,CM360 campaign ID,The CM360 Campaign ID that led to the key event. A CM360 campaign.,
cm360CampaignName,CM360 campaign name,"The CM360 Campaign Name that led to the key event. A CM360 campaign can be configured to specify when your ads run, what landing pages are used, and other properties.",
cm360CreativeFormat,CM360 creative format,The CM360 Creative Format that led to the key event. CM360 creative formats are also referred to as creative types.,
cm360CreativeId,CM360 creative ID,The CM360 Creative ID that led to the key event. A CM360 creative.,
cm360CreativeName,CM360 creative name,The CM360 Creative Name that led to the key event. The name given to a CM360 creative.,
cm360CreativeType,CM360 creative type,"The CM360 Creative Type that led to the key event. The category of CM360 creatives like 'Display' or 'Tracking'. To learn more, see managecreatives.",
cm360CreativeTypeId,CM360 creative type ID,The CM360 Creative Type ID that led to the key event. Identifies a CM360 creative type.,
cm360CreativeVersion,CM360 creative version,"The CM360 Creative Version that led to the key event. The version number helps you keep track of multiple versions of your creative in your reports. If you upload a new version of an existing creative, the version number is increased.",
cm360Medium,CM360 medium,The CM360 Medium that led to the key event. The CM360 medium is also referred to as the placement cost structure.,
cm360PlacementCostStructure,CM360 placement cost structure,"The CM360 Placement Cost Structure that led to the key event. Placement cost structures regulate how media costs will be calculated. For example, 'CPM'.",
cm360PlacementId,CM360 placement ID,The CM360 Placement ID that led to the key event. A CM360 placement.,
cm360PlacementName,CM360 placement name,The CM360 Placement Name that led to the key event. The given name for a CM360 placement. A placement is the part of a website where your ad appears.,
cm360RenderingId,CM360 rendering ID,The CM360 Rendering ID that led to the key event. Identifies a CM360 creative.,
cm360SiteId,CM360 site ID,The CM360 Site ID that led to the key event. Identifies a CM360 site.,
cm360SiteName,CM360 site name,The CM360 Site Name that led to the key event. The CM360 Site name from which the ad space was purchased.,
cm360Source,CM360 source,The CM360 Source that led to the key event. The CM360 source is also referred to as the site name.,
cm360SourceMedium,CM360 source / medium,The CM360 Source Medium that led to the key event. A combination of the source and medium.,
cohort,Cohort,"The cohort's name in the request. A cohort is a group of users who started using your website or app in any given group of days. If a cohort name is not specified, the cohorts are named by their zero based index, such as cohort_0 and cohort_1.",
cohortNthDay,Daily cohort,"Day offset relative to the firstSessionDate for the cohort. For example, if a cohort is selected with the start and end date of 2020-03-01, then for the date 2020-03-02, cohortNthDay will be 0001.",
cohortNthMonth,Monthly cohort,"Month offset relative to the firstSessionDate for the cohort. Month boundaries align with calendar month boundaries. For example, if a cohort is selected with the start and end date in March 2020, then for any date in April 2020, cohortNthMonth will be 0001.",
cohortNthWeek,Weekly cohort,"Week offset relative to the firstSessionDate for the cohort. Weeks start on Sunday and end on Saturday. For example, if a cohort is selected with the start date in the range 2020-11-08 to 2020-11-14, then for the date range 2020-11-15 to 2020-11-21, cohortNthWeek will be 0001.",
contentGroup,Content group,A category that applies to items of published content. Populated by the event parameter content_group.,
contentId,Content ID,The identifier of the selected content. Populated by the event parameter content_id.,
contentType,Content type,The category of the selected content. Populated by the event parameter content_type.,
continent,Continent,"The continent from which the user activity originated. For example, Americas or Asia.",
continentId,Continent ID,"The geographic ID of the continent from which the user activity originated, derived from their IP address.",
country,Country,The country from which the user activity originated.,
countryId,Country ID,"The geographic ID of the country from which the user originated, derived from their IP address. Formatted according to ISO 3166-1 alpha-2 standard.",
currencyCode,Currency,"The local currency code (based on ISO 4217 standard) of an eCommerce event. For example, USD or GBP. Currency code is specified in tagging by the currency parameter. Properties that transact in more than one currency can send a currency code when sending eCommerce events, and this dimension shows those currencies. To learn more, see Currencyreference.",
date,Date,"The date of the event, formatted as YYYYMMDD.",
dateHour,Date + hour (YYYYMMDDHH),The combined values of date and hour formatted as YYYYMMDDHH.,
dateHourMinute,Date hour and minute,"The combined values of date, hour, and minute formatted as YYYYMMDDHHMM.",
day,Day,"The day of the month, a two-digit number from 01 to 31.",
dayOfWeek,Day of week,The integer day of the week. It returns values 0 to 6 with Sunday as the first day of the week.,
dayOfWeekName,Day of week name,The day of the week in English. This dimension returns values such as Sunday or Monday.,
defaultChannelGroup,Default channel group,"The key event's default channel group is based primarily on source and medium. An enumeration which includes Direct, Organic Search, Paid Social, Organic Email, Affiliates, Referral, Paid Search, Video, and Display.",
deviceCategory,Device category,"The type of device: Desktop, Tablet, or Mobile.",
deviceModel,Device model,The mobile device model (example: iPhone 10).,
dv360AdvertiserId,DV360 advertiser ID,The DV360 Advertiser ID that led to the key event. Identifies the DV360 advertiser.,
dv360AdvertiserName,DV360 advertiser name,The DV360 Advertiser Name that led to the key event. DV360 advertisers represent real-life businesses that run advertising campaigns.,
dv360CampaignId,DV360 campaign ID,The DV360 Campaign ID that led to the key event. Identifies the DV360 campaign.,
dv360CampaignName,DV360 campaign name,The DV360 Campaign Name that led to the key event. DV360 campaigns group together related insertions orders or ads with a common business goal.,
dv360CreativeFormat,DV360 creative format,"The DV360 Creative Format that led to the key event. Also referred to as the creative type. For example, expandable, video, or native.",
dv360CreativeId,DV360 creative ID,The DV360 Creative ID that led to the key event. Identifies the DV360 creative.,
dv360CreativeName,DV360 creative name,The DV360 Creative Name that led to the key event. The name given to a DV360 creative.,
dv360ExchangeId,DV360 exchange ID,The DV360 Exchange ID that led to the key event. Identifies the DV360 exchange.,
